Name,Address,Latitude,Longitude,BeerPrice,HappyHourPrice,HasHappyHour,HappyHourTimes,AvgRating,RatingsCount,OpeningHours,SpecialNotes,URL
Knut bar,"Regeringsgatan 77, 111 39 Stockholm, Sweden",59.3364764,18.0673052,24,,No,,5,1,Mon: 11:00 – 23:00 | Tue: 11:00 – 23:00 | Wed: 11:00 – 00:00 | Thu: 11:00 – 00:00 | Fri: 11:00 – 01:00 | Sat: 13:00 – 01:00,Terrace · DJ,https://under40kr.se/en/bar/knut-bar
Nivå 22,"Fridhemsgatan 17, 112 40 Stockholm, Sweden",59.3324745,18.0285588,25,,No,,5,2,Mon: 15:00 – 01:00 | Tue: 15:00 – 01:00 | Wed: 15:00 – 01:00 | Thu: 15:00 – 01:00 | Fri: 15:00 – 01:00 | Sat: 12:00 – 01:00 | Sun: 14:00 – 01:00,Terrace,https://under40kr.se/en/bar/niva-22
Haket,"Folkungagatan 69, 116 22 Stockholm, Sweden",59.31496600000001,18.0781938,25,,No,,0,0,Mon: 12:00 – 23:00 | Tue: 12:00 – 23:00 | Wed: 12:00 – 00:00 | Thu: 12:00 – 00:00 | Fri: 12:00 – 01:00 | Sat: 12:00 – 01:00 | Sun: 12:00 – 23:00,,https://under40kr.se/en/bar/haket
Lagan - Indisk Restaurang & Bar,"Sturegatan 34, 172 31 Sundbyberg, Sweden",59.36407490000001,17.9659144,29,,Yes,Sun 11:00–20:00; Sat 11:00–20:00; Wed 11:00–20:00; Mon 11:00–20:00; Thu 11:00–20:00; Tue 11:00–20:00; Fri 11:00–20:00,0,0,Mon: 11:00 – 22:00 | Tue: 11:00 – 22:00 | Wed: 11:00 – 22:00 | Thu: 11:00 – 22:00 | Fri: 11:00 – 22:00 | Sat: 13:00 – 22:00 | Sun: 13:00 – 22:00,Happy Hour (Sun 11:00–20:00; Sat 11:00–20:00; Wed 11:00–20:00; Mon 11:00–20:00; Thu 11:00–20:00; Tue 11:00–20:00; Fri 11:00–20:00),https://under40kr.se/en/bar/lagan-indisk-restaurang-bar
Kistan 2.0,"Kistagången 14, 164 40 Kista, Sverige",59.4049488,17.9507707,30,,No,,5,1,Thu: 17:00 – 03:00 | Fri: 17:00 – 03:00,,https://under40kr.se/en/bar/kistan-20
Retrobar Södermalm/Hornstull,"Hornsgatan 136, 117 28 Stockholm, Sweden",59.316454,18.041762,32,,Yes,Sat 16:00–18:00; Wed 16:00–18:00; Sun 16:00–18:00; Thu 16:00–18:00; Mon 16:00–18:00; Fri 16:00–18:00; Tue 16:00–18:00,0,0,Mon: 17:00 – 23:00 | Tue: 17:00 – 23:00 | Wed: 17:00 – 01:00 | Thu: 17:00 – 01:00 | Fri: 16:00 – 01:00 | Sat: 13:00 – 01:00 | Sun: 13:00 – 23:00,Terrace · Happy Hour (Sat 16:00–18:00; Wed 16:00–18:00; Sun 16:00–18:00; Thu 16:00–18:00; Mon 16:00–18:00; Fri 16:00–18:00; Tue 16:00–18:00),https://under40kr.se/en/bar/retrobar-sodermalmhornstull
Lion Bar,"Sveavägen 74, 113 59 Stockholm, Sweden",59.3398946,18.0597901,32,,Yes,,0,0,Mon: 13:00 – 03:00 | Tue: 13:00 – 03:00 | Wed: 13:00 – 03:00 | Thu: 13:00 – 03:00 | Fri: 13:00 – 03:00 | Sat: 13:00 – 03:00 | Sun: 13:00 – 03:00,Terrace · Happy Hour,https://under40kr.se/en/bar/lion-bar-sveavagen-74
New Castle Inn,"Lysviksgatan 50, 123 42 Farsta, Sweden",59.24719510000001,18.0934308,35,,No,,0,0,Tue: 16:00 – 22:00 | Wed: 16:00 – 22:00 | Thu: 16:00 – 22:00 | Fri: 14:00 – 22:00 | Sat: 13:00 – 22:00 | Sun: 13:00 – 22:00,,https://under40kr.se/en/bar/new-castle-inn
Amira,"Gustav Iii:S Boulevard 3, 169 72 Solna, Sweden",59.36770800000001,18.0140826,35,,No,,0,0,Mon: 11:00 – 20:00 | Tue: 11:00 – 20:00 | Wed: 11:00 – 20:00 | Thu: 11:00 – 20:00 | Fri: 11:00 – 20:00,,https://under40kr.se/en/bar/amira
Jonny & Tores,"Ståltrådsvägen 29, 168 68 Bromma, Sweden",59.3468985,17.9747575,35,,No,,0,0,Mon: 15:00 – 22:00 | Tue: 15:00 – 22:00 | Wed: 15:00 – 22:00 | Thu: 15:00 – 22:00 | Fri: 15:00 – 23:00 | Sat: 12:00 – 23:00 | Sun: 12:00 – 22:00,,https://under40kr.se/en/bar/jonny-tores
Restaurang Professorn,"Professorsslingan 13, 114 17 Stockholm, Sverige",59.36994079999999,18.0623625,35,,No,,5,1,Mon: 11:00 – 22:30 | Tue: 11:00 – 22:30 | Wed: 11:00 – 22:30 | Thu: 11:00 – 22:30 | Fri: 11:00 – 22:30 | Sat: 12:00 – 22:30 | Sun: 12:00 – 22:30,,https://under40kr.se/en/bar/restaurang-professorn
